,n_bodies,time
337,89.0,168.49999999999173
338,89.0,168.99999999999127
339,89.0,169.49999999999082
340,89.0,169.99999999999037
341,89.0,170.4999999999899
342,89.0,170.99999999998946
343,89.0,171.499999999989
344,89.0,171.99999999998855
345,89.0,172.4999999999881
346,89.0,172.99999999998764
347,89.0,173.49999999998718
348,89.0,173.99999999998673
349,89.0,174.49999999998627
350,89.0,174.99999999998582
351,89.0,175.49999999998536
352,89.0,175.9999999999849
353,89.0,176.49999999998445
354,89.0,176.999999999984
355,89.0,177.49999999998354
356,89.0,177.9999999999831
357,89.0,178.49999999998263
358,89.0,178.99999999998218
359,89.0,179.49999999998172
360,89.0,179.99999999998127
361,89.0,180.49999999998082
362,89.0,180.99999999998036
363,89.0,181.4999999999799
364,89.0,181.99999999997945
365,89.0,182.499999999979
366,89.0,182.99999999997854
367,89.0,183.4999999999781
368,89.0,183.99999999997763
369,89.0,184.49999999997718
370,89.0,184.99999999997672
371,89.0,185.49999999997627
372,89.0,185.9999999999758
373,89.0,186.49999999997536
374,89.0,186.9999999999749
375,89.0,187.49999999997445
376,89.0,187.999999999974
377,89.0,188.49999999997354
378,89.0,188.99999999997308
379,89.0,189.49999999997263
380,89.0,189.99999999997218
381,89.0,190.49999999997172
382,89.0,190.99999999997127
383,89.0,191.4999999999708
384,89.0,191.99999999997036
385,89.0,192.4999999999699
386,89.0,192.99999999996945
387,89.0,193.499999999969
388,89.0,193.99999999996854
389,89.0,194.49999999996808
390,89.0,194.99999999996763
391,89.0,195.49999999996717
392,89.0,195.99999999996672
393,89.0,196.49999999996626
394,89.0,196.9999999999658
395,89.0,197.49999999996535
396,89.0,197.9999999999649
397,89.0,198.49999999996444
398,89.0,198.999999999964
399,89.0,199.49999999996353
400,89.0,199.99999999996308
401,89.0,200.49999999996263
402,89.0,200.99999999996217
403,89.0,201.49999999996172
404,89.0,201.99999999996126
405,89.0,202.4999999999608
406,89.0,202.99999999996035
407,89.0,203.4999999999599
408,89.0,203.99999999995944
409,89.0,204.499999999959
410,89.0,204.99999999995853
411,89.0,205.49999999995808
412,89.0,205.99999999995762
413,89.0,206.49999999995717
414,89.0,206.9999999999567
415,89.0,207.49999999995626
416,89.0,207.9999999999558
417,89.0,208.49999999995535
418,89.0,208.9999999999549
419,89.0,209.49999999995444
420,89.0,209.99999999995399
421,89.0,210.49999999995353
422,89.0,210.99999999995308
423,89.0,211.49999999995262
424,89.0,211.99999999995217
425,89.0,212.4999999999517
426,89.0,212.99999999995126
427,89.0,213.4999999999508
428,89.0,213.99999999995035
429,89.0,214.4999999999499
430,89.0,214.99999999994944
431,89.0,215.49999999994898
432,89.0,215.99999999994853
433,89.0,216.49999999994807
434,89.0,216.99999999994762
435,89.0,217.49999999994716
436,89.0,217.9999999999467
437,89.0,218.49999999994625
438,89.0,218.9999999999458
439,89.0,219.49999999994535
440,89.0,219.9999999999449
441,89.0,220.49999999994444
442,89.0,220.99999999994398
443,89.0,221.49999999994353
